Date,AAPL,MSFT,NVDA,JPM,GS,JNJ,PFE,KO,PG,WMT,XOM,CAT
2023-08-03,188.5269775390625,319.109375,44.480228424072266,147.0236358642578,330.6474304199219,156.3331298828125,29.364356994628906,56.79589080810547,146.16111755371094,51.38116455078125,96.90088653564453,270.3350830078125
2023-08-04,179.47393798828125,320.20355224609375,44.645103454589844,146.7133331298828,330.7035827636719,154.8672637939453,29.381145477294922,55.93898010253906,144.55984497070312,51.0843505859375,97.1722640991211,265.52294921875
2023-08-07,176.37733459472656,322.4796142578125,45.38152313232422,147.4091796875,332.8944396972656,158.58688354492188,29.934871673583984,56.38125991821289,146.08663940429688,51.77799987792969,96.9732666015625,270.52716064453125
2023-08-08,177.31417846679688,318.51348876953125,44.62911605834961,146.5816650390625,326.0597839355469,158.66017150878906,29.901308059692383,56.13248062133789,146.244873046875,51.829620361328125,97.45270538330078,271.71826171875
2023-08-09,175.72647094726562,314.7818603515625,42.52075958251953,144.61631774902344,320.8448181152344,158.5594024658203,30.069108963012695,56.261474609375,146.0587158203125,51.91350173950195,99.10810852050781,273.2934265136719
2023-08-10,175.50949096679688,315.4656677246094,42.35489273071289,144.40003967285156,318.7008056640625,157.73486328125,29.968427658081055,56.13248062133789,145.33253479003906,51.88759994506836,99.61468505859375,272.6114807128906
2023-08-11,175.56875610351562,313.59002685546875,40.823081970214844,145.2369842529297,319.0097961425781,159.27401733398438,30.236902236938477,56.362831115722656,146.17971801757812,52.19194030761719,101.16157531738281,273.9562072753906
2023-08-14,177.21788024902344,316.5500183105469,43.71883010864258,145.5379180908203,316.21038818359375,158.8983917236328,30.262073516845703,56.09562301635742,145.0346221923828,51.80341339111328,101.24298095703125,273.3030700683594
2023-08-15,175.23300170898438,314.4203186035156,43.90568161010742,141.8328857421875,311.03277587890625,158.44033813476562,29.691560745239258,55.71784210205078,144.1036834716797,51.537925720214844,98.64373779296875,266.416259765625
2023-08-16,174.364013671875,313.6567687988281,43.452030181884766,141.23106384277344,308.13043212890625,157.93641662597656,29.767070770263672,55.72705841064453,142.63279724121094,51.56382369995117,96.98384094238281,263.6691589355469
2023-08-17,171.82611083984375,310.2108459472656,43.31014633178711,139.76412963867188,306.641845703125,159.42056274414062,30.6312255859375,55.846839904785156,141.60870361328125,50.4079704284668,98.86262512207031,264.30316162109375
2023-08-18,172.30996704101562,309.8193054199219,43.26517105102539,140.08387756347656,304.2169494628906,158.02804565429688,30.7570743560791,56.16012191772461,142.00901794433594,51.133216857910156,100.35832977294922,262.9872131347656
2023-08-21,173.6431121826172,315.1056213378906,46.93031311035156,140.5634307861328,301.5299072265625,153.31898498535156,31.05071449279785,55.68098449707031,141.2921600341797,50.99722671508789,99.14533233642578,261.9786682128906
2023-08-22,175.01571655273438,315.6734619140625,45.63233184814453,137.64837646484375,298.4683532714844,152.10049438476562,30.908090591430664,55.34006118774414,141.34800720214844,50.83534622192383,98.58900451660156,259.5293884277344
2023-08-23,178.85714721679688,320.1179504394531,47.07919692993164,138.5792999267578,301.78265380859375,150.7353973388672,30.7570743560791,55.53356170654297,142.66998291015625,51.18824768066406,97.72259521484375,262.24761962890625
2023-08-24,174.1763458251953,313.23583984375,47.126155853271484,138.44766235351562,299.5637512207031,151.24844360351562,30.337581634521484,55.386131286621094,142.00901794433594,50.79649353027344,96.99297332763672,258.66485595703125
2023-08-25,176.37850952148438,316.1825256347656,45.982059478759766,138.27841186523438,299.7416076660156,153.4170684814453,30.522159576416016,55.644126892089844,142.93997192382812,51.097599029541016,98.72581481933594,261.7961730957031
2023-08-28,177.93878173828125,316.8874206542969,46.79841613769531,138.75796508789062,305.190673828125,151.6083526611328,30.379533767700195,55.80076599121094,143.16343688964844,51.38899230957031,99.55574798583984,263.9381103515625
2023-08-29,181.8196563720703,321.4982604980469,48.745887756347656,139.88633728027344,311.3511657714844,151.62681579589844,30.329191207885742,55.7454833984375,143.24717712402344,51.81959915161133,100.14855194091797,268.97119140625
2023-08-30,185.3055419921875,321.8702392578125,49.225521087646484,139.32217407226562,310.1993713378906,151.09156799316406,30.11944580078125,55.71784210205078,143.40542602539062,52.19194030761719,101.1244125366211,271.1803283691406
2023-08-31,185.5228271484375,320.86187744140625,49.31645202636719,137.60134887695312,309.37811279296875,149.19981384277344,29.683176040649414,55.12813949584961,143.68475341796875,52.648468017578125,101.40715026855469,270.0277404785156
2023-09-01,187.09295654296875,321.74298095703125,48.471107482910156,138.0621337890625,309.08544921875,148.0924530029297,30.01876449584961,54.64899826049805,143.843017578125,52.311737060546875,103.53213500976562,274.9455261230469
2023-09-05,187.32994079589844,326.530029296875,48.51008224487305,136.53872680664062,305.6396484375,148.27699279785156,29.683176040649414,54.197513580322266,141.91590881347656,51.890838623046875,103.541259765625,270.5079345703125
2023-09-06,180.6248016357422,325.8741455078125,47.028114318847656,136.3130645751953,303.16619873046875,145.8131103515625,28.835803985595703,54.16065979003906,141.63662719726562,52.27936553955078,104.4350357055664,271.7277526855469
2023-09-07,175.3416290283203,322.96661376953125,46.208683013916016,135.1470184326172,303.94976806640625,147.6772003173828,28.76029396057129,53.74602127075195,142.9865264892578,52.926902770996094,103.92430114746094,270.31591796875
2023-09-08,175.953857421875,327.2348937988281,45.5401496887207,135.25047302246094,307.31060791015625,148.16627502441406,28.735126495361328,53.74602127075195,142.37210083007812,53.02404022216797,105.43824768066406,271.13232421875
2023-09-11,177.11912536621094,330.8276672363281,45.14643478393555,135.8428955078125,306.4892272949219,150.10415649414062,28.475040435791016,54.2527961730957,144.0664520263672,53.208587646484375,104.1158218383789,270.9113464355469
2023-09-12,174.0973663330078,324.78753662109375,44.83863830566406,137.6107177734375,312.3896484375,150.9531707763672,28.651229858398438,53.71837615966797,141.5342254638672,53.266868591308594,107.15283203125,270.6808776855469
2023-09-13,172.03347778320312,328.98724365234375,45.453216552734375,137.67657470703125,316.24139404296875,151.33151245117188,28.59250259399414,53.847373962402344,142.52105712890625,53.27981948852539,106.19522094726562,265.02349853515625
2023-09-14,173.54437255859375,331.5716552734375,45.54915237426758,140.34715270996094,325.2949523925781,151.10081481933594,28.651229858398438,54.29316329956055,144.0850830078125,53.50321960449219,108.09221649169922,271.40118408203125
2023-09-15,172.82347106933594,323.27008056640625,43.86932373046875,139.93341064453125,323.3785400390625,148.98757934570312,28.584110260009766,53.810218811035156,142.8748016357422,53.305721282958984,106.43235778808594,268.12591552734375
2023-09-18,175.74649047851562,322.13458251953125,43.935279846191406,140.22491455078125,324.1148986816406,149.9288330078125,28.22334861755371,54.14456558227539,143.41476440429688,52.91071701049805,107.2896499633789,269.84521484375
2023-09-19,176.83273315429688,321.733154296875,43.489585876464844,140.04624938964844,322.7649230957031,149.6796875,28.51699447631836,54.033119201660156,142.995849609375,52.897762298583984,107.00691223144531,268.6253967285156
2023-09-20,173.29750061035156,314.0190124511719,42.2094841003418,139.45382690429688,317.8652038574219,150.33486938476562,28.206565856933594,54.27458572387695,142.8748016357422,53.06935501098633,106.15876007080078,267.60723876953125
2023-09-21,171.75697326660156,312.80511474609375,40.98833465576172,138.36302185058594,311.7666015625,149.18136596679688,27.560550689697266,53.43873977661133,141.63662719726562,52.4250602722168,104.66304016113281,261.287109375
2023-09-22,172.60621643066406,310.33819580078125,41.580928802490234,137.03713989257812,309.5480651855469,148.11090087890625,27.426311492919922,53.49445343017578,141.11529541015625,52.56428909301758,104.82720184326172,262.2763671875
2023-09-25,173.88011169433594,310.85699462890625,42.1924934387207,137.7141571044922,310.44488525390625,147.88941955566406,27.66961669921875,52.93722152709961,140.25880432128906,52.79739761352539,106.00370025634766,263.4385681152344
2023-09-26,169.8115997314453,305.5706787109375,41.881717681884766,136.2848358154297,305.70574951171875,146.74514770507812,27.18301010131836,52.500732421875,139.0113067626953,52.612850189208984,106.16786193847656,258.87615966796875
2023-09-27,168.30068969726562,306.2070007324219,42.43832015991211,137.08413696289062,303.9403381347656,144.9825897216797,26.931312561035156,51.962066650390625,137.16799926757812,52.36030960083008,109.62440490722656,261.94024658203125
